,Lot Area,Year Built,Year Remod/Add,Exter Qual,1st Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Type,Garage Cars,Porch SF,SalePrice
24,12537,1971,2008,3,1078,1078,1,3,3,1,1,2.0,0,149900
25,8450,1968,1968,3,1056,1056,1,3,3,1,1,1.0,269,142000
26,8400,1970,1970,3,882,882,1,2,3,0,1,2.0,0,126000
27,10500,1971,1971,3,864,864,1,3,3,1,6,0.0,0,115000
28,5858,1999,1999,4,1337,1337,2,2,4,1,1,2.0,68,184000
29,1680,1971,1971,3,483,987,1,2,3,0,5,1.0,0,96000
30,1680,1971,1971,3,525,1092,1,3,3,0,5,1.0,0,105500
31,1680,1971,1971,3,525,1092,1,3,3,0,5,1.0,0,88000
32,4043,1977,1977,3,1069,1069,2,2,3,1,1,2.0,220,127500
33,2280,1975,1975,3,855,1456,2,3,4,1,1,2.0,0,149900
34,2280,1975,1975,3,836,836,1,2,3,0,1,1.0,30,120000
35,2280,1978,1978,3,855,1456,2,3,3,1,1,2.0,0,146000
36,12858,2009,2010,5,1627,2334,2,3,5,1,1,3.0,133,376162
37,11478,2007,2008,4,1704,1704,2,3,4,1,1,3.0,50,306000
38,10159,2009,2010,5,1940,1940,2,3,5,1,1,3.0,95,395192
39,12883,2009,2010,4,1544,1544,2,3,4,0,1,3.0,35,290941
40,12182,2005,2005,4,1541,1541,2,3,4,1,1,2.0,70,220000
41,11520,2005,2005,4,1698,1698,2,3,5,1,1,3.0,74,275000
42,14122,2005,2006,4,1822,1822,2,3,5,1,1,3.0,119,259000
43,10171,2004,2004,4,1535,1535,2,3,4,0,1,2.0,0,214000
44,12919,2009,2010,5,2364,2364,2,2,5,2,1,3.0,67,611657
45,6371,2009,2010,4,1358,1358,2,2,4,1,1,2.0,35,224000
46,14300,2003,2004,5,2696,2696,2,3,5,2,1,3.0,150,500000
47,13650,2002,2002,4,1687,2250,2,3,4,1,1,3.0,130,320000
48,7658,2005,2005,5,1752,1752,2,2,5,1,1,2.0,82,319900
49,7132,2006,2006,4,1370,1370,2,2,4,1,1,2.0,49,205000
50,2628,2003,2003,4,764,1626,2,2,4,0,3,2.0,27,175500
51,18494,2005,2005,4,1324,1324,2,3,4,0,1,2.0,23,199500
52,3203,2006,2006,4,1145,1145,2,2,4,0,1,2.0,116,160000
53,3182,2004,2005,4,1269,1269,2,2,4,1,1,2.0,164,192000
54,13300,2004,2004,4,744,1374,2,3,4,1,3,2.0,0,184500
55,7851,2002,2002,4,860,1960,2,4,4,2,3,2.0,48,216500
56,8577,2004,2004,4,847,1733,2,3,4,1,3,2.0,48,185088
57,7750,2000,2000,3,774,1430,2,3,3,1,3,2.0,0,180000
58,9505,2001,2001,4,884,2035,2,3,4,1,3,2.0,48,222500
59,14774,1999,1999,4,1422,2599,2,4,4,1,3,3.0,30,333168
60,17433,1998,1998,4,1645,2475,2,4,4,1,1,3.0,428,355000
61,10593,1996,1996,4,1720,1720,2,3,4,1,1,2.0,210,260400
62,12256,1994,1995,4,1500,2622,2,3,4,2,1,2.0,32,325000
63,11764,1999,2007,4,1164,2270,2,4,4,1,1,3.0,57,290000
64,16770,1998,1998,4,1195,1839,2,4,3,0,1,2.0,81,221000
65,14720,1995,1996,4,2053,3238,2,4,4,1,1,3.0,86,410000
66,8987,2005,2006,4,1595,1595,2,2,4,1,1,3.0,0,221500
67,9215,2009,2010,4,1218,1218,2,2,4,0,1,2.0,136,204500
68,8640,2009,2009,3,764,1547,2,3,4,0,1,2.0,45,215200
69,9000,2008,2008,4,1566,1566,2,3,4,0,1,2.0,168,262500
70,12552,2004,2005,4,991,1947,2,3,4,1,1,2.0,136,254900
71,10440,2005,2005,4,1468,1468,2,2,4,1,1,2.0,318,271500
72,10142,2004,2004,4,956,2084,2,4,4,0,3,2.0,45,233000
73,11920,2004,2004,4,831,1659,2,3,4,0,1,2.0,68,181000
74,8880,1994,2002,4,1222,2110,2,3,4,2,1,2.0,130,205000
75,8012,1980,1980,3,923,923,2,2,3,1,1,1.0,0,143000
76,11218,1992,1992,4,1055,1845,2,3,4,1,1,2.0,104,189000
77,7892,1979,1979,3,918,918,2,2,3,1,1,1.0,0,99500
78,7175,1984,1984,3,752,752,1,2,3,0,1,1.0,90,125000
79,9453,1993,2003,4,1014,1744,2,3,4,0,1,2.0,308,194500
80,9672,1984,1985,3,1097,1097,2,3,3,0,1,2.0,0,152000
81,8400,1980,1981,3,888,1564,2,3,3,1,1,2.0,254,171000
82,9800,1920,1950,3,1012,1012,1,2,3,0,5,1.0,80,67500
83,8930,1978,1978,3,1318,1902,2,4,3,0,1,2.0,0,112000
84,11782,1961,1995,3,1155,1155,1,3,4,0,5,2.0,0,148000
85,8450,1965,2009,3,894,894,1,3,3,1,5,1.0,144,138500
86,9819,1967,1967,3,900,900,1,3,3,0,5,1.0,0,122000
87,7500,1963,1963,3,1040,1040,1,3,3,0,1,1.0,220,133000
88,6897,1962,2010,3,1040,1040,1,3,3,0,5,1.0,104,127000
89,15410,1974,2002,3,1494,1494,2,3,3,2,1,2.0,186,169000
90,10186,1992,1992,4,1061,1923,2,3,4,1,1,2.0,39,190000
91,13143,1993,1993,4,1251,2349,2,4,4,1,1,3.0,130,362500
92,11134,1992,1993,4,1402,2225,2,4,4,1,1,3.0,30,285000
93,4835,2004,2005,4,1488,1488,2,2,4,1,1,2.0,50,260000
94,3515,2004,2004,4,840,1680,2,2,4,0,1,2.0,111,190000
95,3215,2004,2004,4,600,1200,2,2,4,0,5,2.0,172,155000
96,3182,2004,2005,4,600,1200,2,2,4,0,5,2.0,172,151000
97,2544,2004,2005,4,600,1200,2,2,4,0,5,2.0,172,149500
98,2544,2005,2005,4,600,1236,2,2,4,0,5,2.0,166,152000
99,4403,2009,2009,5,1478,1478,2,2,4,1,1,2.0,144,222000
100,2117,2000,2000,4,769,1573,2,3,4,0,5,2.0,32,177500
101,2980,2000,2000,4,756,1512,2,2,4,0,5,2.0,32,177000
102,2572,1999,1999,4,696,1416,2,3,4,0,5,2.0,44,155000
103,2403,2003,2003,4,530,1080,2,2,4,0,1,2.0,50,147110
104,12853,2010,2010,4,1418,1418,1,1,4,1,1,3.0,416,267916
105,7379,2000,2000,4,975,1848,2,3,4,1,1,2.0,184,254000
106,4420,1980,1980,4,788,788,1,1,4,1,5,2.0,42,155000
107,3880,1978,1978,4,1226,1226,1,1,4,1,1,2.0,78,206000
108,13517,1976,2005,4,725,1479,2,3,4,0,1,2.0,44,130500
109,8000,2002,2002,4,1492,1492,2,3,4,1,1,2.0,137,230000
110,10456,1967,1967,3,1829,1829,2,4,3,0,1,2.0,76,218500
111,10791,1993,1993,3,1280,2495,2,4,4,1,1,2.0,32,243500
112,10603,1977,2001,3,1610,1610,2,3,4,2,1,2.0,68,205000
113,18837,1978,1978,3,1287,1891,3,3,3,1,1,2.0,69,212500
114,10421,1988,1988,3,980,1714,2,3,3,1,1,2.0,222,196500
115,9360,1972,2006,3,1381,1381,1,3,4,1,1,2.0,0,197500
116,9600,1971,1971,3,930,1645,1,4,3,0,1,2.0,78,171000
117,9600,1966,1966,3,1232,1232,1,3,3,0,1,2.0,224,142250
118,9790,1963,1963,3,1328,1328,1,3,3,2,1,2.0,26,143000
119,9320,1959,1959,3,1225,1225,1,3,3,0,6,0.0,0,128950
120,9900,1966,1966,3,1209,1209,1,3,3,0,1,2.0,120,159000
121,9680,1967,1967,3,1510,1510,2,3,4,0,1,2.0,244,178900
122,10600,1964,1964,3,1131,1775,2,3,3,0,1,2.0,172,136300
123,14112,1964,1964,3,1152,1152,1,3,3,1,1,2.0,0,180500
124,8800,1963,1963,3,1054,1054,1,3,4,0,1,2.0,0,137500
125,13260,1962,2001,3,1728,1728,2,6,3,0,6,0.0,0,84900
126,9717,1950,1996,3,1078,1078,1,2,4,0,1,1.0,112,142125
127,9724,1952,2002,4,1929,2461,2,3,3,2,5,2.0,0,197600
128,17360,1949,1950,3,1019,1556,2,3,3,1,1,2.0,150,172500
129,7207,1958,2008,3,858,858,1,2,3,0,6,0.0,0,116500
130,5350,1940,1966,3,1306,1306,1,3,2,0,6,0.0,0,76500
131,9920,1954,1954,3,1063,1063,1,3,3,0,1,1.0,164,128000
132,9600,1955,1972,3,1520,1520,1,3,3,2,2,1.0,189,153000
133,7800,1954,1954,3,1268,1268,1,2,3,1,1,1.0,98,132000
134,11380,1966,2008,3,1128,1128,1,2,4,1,1,1.0,0,178000
135,11600,1960,1960,3,1105,2274,2,5,3,0,5,2.0,0,154300
136,19900,1970,1989,3,2207,2207,2,3,3,1,1,2.0,0,180000
137,16492,1966,2002,4,1888,1888,2,2,4,1,1,2.0,0,190000
138,8267,1958,1958,3,1604,1604,2,4,3,0,1,2.0,0,135000
139,8197,2003,2009,4,1480,1480,2,3,4,0,1,2.0,73,214000
140,8050,1959,1959,3,1143,1143,1,3,3,0,1,1.0,0,136000
141,10552,1959,1959,3,1700,1700,1,4,4,1,1,2.0,38,165500
142,8400,1957,1957,3,1314,1314,1,3,3,0,1,1.0,0,145000
143,8760,1959,1959,3,1194,1194,1,3,3,0,1,1.0,120,148000
144,12160,1959,1959,3,1188,1188,1,3,3,0,1,2.0,0,142000
145,9300,1960,1960,3,1264,1264,1,3,3,2,1,2.0,143,167500
146,10725,1959,1959,3,1206,1206,1,3,3,0,1,1.0,21,108538
147,10032,1959,1959,3,1580,1580,1,3,3,2,1,2.0,188,159500
148,8382,1956,1956,3,832,1337,1,3,3,0,1,1.0,0,108000
149,10950,1952,1952,3,1064,1064,1,2,2,0,5,1.0,0,135000
150,10895,1955,1955,3,972,972,1,3,3,0,1,1.0,205,122500
151,13587,1958,1958,3,988,988,1,2,3,0,1,1.0,0,119000
152,7922,1953,2007,3,1057,1057,1,3,4,0,5,1.0,52,109000
153,7898,1920,1994,3,985,985,1,2,3,0,5,2.0,0,105000
154,7200,1955,2007,3,827,827,1,2,3,1,5,1.0,0,107500
155,10200,1954,2003,3,1086,1086,1,3,3,0,1,2.0,0,144900
156,5868,1956,2000,3,936,936,1,2,3,0,1,1.0,240,129000
157,17503,1948,1950,3,912,1458,1,3,3,1,1,1.0,0,97500
158,6979,1980,1980,3,1056,1056,0,0,3,0,5,2.0,56,144000
159,9830,1959,2006,3,1287,1287,1,3,4,1,5,2.0,199,162000
160,11275,1967,2007,4,1898,2978,2,5,4,1,3,2.0,0,242000
161,8064,1948,2004,3,816,1224,1,3,3,0,5,1.0,0,132000
162,7500,1959,1994,3,1246,1246,1,3,4,0,1,1.0,0,154000
163,8520,1952,1952,3,910,1385,2,4,3,0,5,2.0,0,166000
164,7200,1951,2000,3,900,900,1,3,4,0,5,2.0,32,134800
165,10000,1962,1962,3,1116,1116,1,3,3,0,1,2.0,385,160000
166,7635,1960,1960,3,1175,1175,1,3,3,0,5,2.0,0,148000
167,9760,1963,1984,3,1395,1395,1,2,3,1,1,2.0,353,192000
168,7700,1966,1966,3,1051,1839,1,4,3,1,1,2.0,340,155000
169,4800,1900,1954,3,1157,1844,1,3,3,2,2,1.0,0,80400
170,8800,1910,2004,3,792,1140,1,3,3,0,6,0.0,160,96500
171,4485,1920,1950,3,936,936,1,2,3,1,6,0.0,135,109500
172,8960,1927,1950,3,1028,1028,1,2,3,1,5,2.0,130,115000
173,5805,1957,1957,3,1347,1347,1,3,4,0,5,2.0,0,143000
174,5790,1915,1950,4,840,1605,2,3,3,0,5,1.0,202,107400
175,4608,1945,1950,3,747,747,1,2,3,0,1,1.0,0,80000
176,7200,1940,1992,3,804,804,1,2,4,2,1,1.0,154,119000
177,5500,1929,2001,3,926,1316,1,3,3,0,5,2.0,0,130000
178,6900,1938,2000,3,827,1251,1,3,2,0,5,1.0,0,119000
179,11851,1948,2009,3,1027,1633,1,3,4,1,5,1.0,226,129000
180,8239,1920,1962,3,1060,1245,1,3,3,0,5,1.0,334,100000
181,9656,1923,1970,3,832,832,1,2,3,1,5,2.0,0,12789
182,8520,1928,2003,3,720,720,1,2,3,0,5,2.0,0,105900
183,9600,1900,2003,4,930,1566,2,3,4,0,5,1.0,474,150000
184,10800,1915,1950,3,966,1652,2,4,3,0,5,1.0,196,139000
185,9000,1890,2002,4,1157,2268,3,3,4,0,5,2.0,108,240000
186,9045,1910,1950,3,1128,2256,2,4,2,0,6,0.0,36,76500
187,7407,1957,1996,3,1236,1236,1,2,3,0,1,2.0,316,149700
188,7740,1910,1950,3,741,1363,1,3,3,0,5,2.0,168,125500
189,11340,1885,1950,3,1246,2290,2,4,3,0,5,2.0,114,122500
190,10560,1922,1994,3,868,1470,1,2,3,0,5,2.0,0,140750
191,5830,1950,1997,3,1030,1612,1,3,3,0,5,1.0,0,128500
192,7793,1922,2005,3,1160,2068,1,3,4,1,5,1.0,60,209500
193,5000,1925,1950,3,765,765,1,2,4,0,5,1.0,41,87000
194,6000,1939,1950,3,608,1132,1,2,3,0,5,1.0,128,134000
195,6000,1940,1950,3,848,1196,1,3,3,2,5,2.0,0,128000
196,6360,1942,1950,3,955,1453,1,3,4,2,5,1.0,183,132000
197,6000,1948,1950,3,780,1416,1,3,3,0,5,1.0,48,139900
198,6240,1936,1980,3,548,1040,1,2,3,0,5,2.0,32,123900
199,6240,1930,1950,3,928,1536,2,4,3,1,5,2.0,10,138400
200,6120,1923,1950,3,1068,1068,1,2,3,1,5,1.0,128,109500
201,10300,1921,1950,3,902,1710,2,3,3,0,5,2.0,75,140000
202,8094,1915,1950,3,888,1962,1,4,3,1,5,2.0,364,149500
203,12900,1912,2009,4,780,1560,1,3,4,0,6,0.0,168,159900
204,3068,1920,1993,3,662,1324,1,3,3,0,5,1.0,112,122000
205,8472,1963,1963,2,816,816,1,2,3,0,4,2.0,0,110000
206,5600,1930,1950,2,372,1092,2,3,2,0,6,0.0,0,55000
207,7630,1900,1996,3,1032,1812,2,4,4,1,5,2.0,40,140000
208,24090,1940,1950,3,1207,2403,2,4,3,2,1,1.0,318,244400
209,15263,1959,1959,3,1675,1675,2,3,3,2,1,1.0,132,173000
210,10632,1917,1950,3,725,1224,1,3,1,0,5,1.0,248,107500
211,9900,1915,1950,2,1212,1392,1,3,3,0,6,0.0,168,100000
212,6001,1940,1950,3,600,919,1,3,3,0,5,1.0,45,95000
213,6449,1907,1950,3,942,1884,1,4,3,0,6,0.0,239,93369
214,6048,1910,1950,3,936,1680,2,2,3,1,5,2.0,144,114900
215,6342,1875,1996,3,780,1020,1,2,3,0,6,0.0,176,94000
216,10773,1967,1967,2,1832,1832,2,4,3,0,6,0.0,58,136000
217,10778,1968,1968,3,1768,1768,2,4,3,0,6,0.0,0,136500
218,11625,1965,1965,3,1039,1039,1,3,3,0,1,2.0,0,131500
219,11341,1957,1996,3,1392,1392,1,3,3,1,5,2.0,95,121500
220,8521,1967,1967,3,912,912,1,3,3,1,5,1.0,0,125000
221,8246,1968,2001,3,1060,1060,1,3,4,1,1,1.0,90,154000
222,7800,1966,2008,3,892,892,1,3,4,0,5,1.0,0,137900
223,9364,1969,1969,3,663,1352,1,4,3,0,1,1.0,36,158000
224,7832,1968,1968,3,864,864,1,2,3,0,5,1.0,0,137250
225,7424,1978,1978,3,1373,1373,1,3,3,2,1,2.0,0,160250
226,11227,1968,1968,3,720,1440,1,4,3,2,1,2.0,38,163000
227,11616,1978,1978,3,672,1386,2,3,3,1,1,2.0,0,158900
228,14000,1996,1997,4,1306,2260,2,3,4,0,1,2.0,44,328000
229,20062,1977,2001,4,1483,1483,1,1,3,2,1,2.0,0,270000
230,9259,1927,1950,3,756,756,1,2,3,0,5,2.0,0,85000
231,9600,1950,1995,3,1067,1067,2,2,4,0,1,2.0,0,128000
232,23595,1979,1979,4,1332,1524,0,0,4,1,1,2.0,0,260000
233,17082,1978,1992,3,1117,1981,2,4,4,1,1,2.0,104,230000
234,18600,1938,1990,3,1052,1610,2,4,2,1,1,1.0,60,124000
235,10625,1920,1950,3,835,835,1,2,3,0,2,1.0,77,83000
236,11479,1950,1987,3,1074,1074,1,3,4,1,1,1.0,104,144500
237,9571,1956,1956,3,1144,1144,1,3,3,0,1,1.0,0,129000
238,9350,1947,1979,3,1169,1531,1,3,3,1,5,1.0,0,127000
239,9525,1954,1998,3,1172,1172,1,3,3,0,1,1.0,0,128000
240,10420,2009,2009,3,1212,1212,2,3,4,0,1,2.0,22,186000
241,17485,2009,2010,4,1508,1508,1,1,4,2,1,2.0,0,308030
242,11200,1964,1964,3,1298,1298,2,3,3,0,5,2.0,144,114000
243,11100,1946,2006,3,930,930,1,2,4,0,5,1.0,0,84900
244,9206,1985,1985,4,977,1732,2,3,4,1,1,2.0,46,178000
245,11980,1987,1987,4,1433,1433,1,1,4,2,1,2.0,544,270000
246,12361,1993,1993,4,964,1802,2,3,4,1,0,4.0,92,218000
247,9938,1993,1994,4,1062,1949,2,3,4,1,1,2.0,90,236000
248,9069,1992,1992,3,996,996,1,2,4,0,1,2.0,0,147000
249,10475,2008,2008,4,1694,1694,2,3,4,0,1,3.0,33,245350
250,6762,2006,2006,4,1208,1208,2,2,4,0,1,2.0,61,206000
251,10402,2009,2009,3,1226,1226,2,3,4,0,1,3.0,36,198900
252,7360,2010,2010,4,1222,1222,2,2,4,0,1,2.0,54,187000
253,12376,1990,1990,3,1699,3222,3,5,4,2,1,3.0,0,320000
254,14235,1900,1993,3,831,1445,2,3,3,0,5,2.0,59,138500
255,8816,1971,1971,3,1052,1052,1,3,3,0,1,2.0,0,155000
256,11105,1996,1996,3,965,965,1,2,3,0,1,2.0,0,159000
257,9337,1997,1998,3,892,1692,2,3,3,1,1,2.0,39,191000
258,8750,1998,1998,3,804,1682,2,3,4,0,1,2.0,77,200500
259,15240,1977,2004,4,1026,1026,1,3,3,0,1,1.0,85,150000
260,10900,1977,1977,3,689,1392,1,3,3,0,1,1.0,36,161750
261,10650,1976,1976,3,894,894,1,3,3,0,1,1.0,0,128200
262,7480,1972,1972,3,876,876,1,3,3,0,5,2.0,0,127000
263,10389,2003,2003,4,1978,1978,2,3,4,1,1,3.0,25,318000
264,11423,2001,2002,4,1601,1601,2,3,4,1,1,2.0,0,272000
265,9548,2003,2003,4,941,1829,2,3,4,1,1,2.0,39,237000
266,9375,1997,1997,4,1044,2098,2,4,4,1,1,2.0,38,240000
267,12137,1998,1998,3,1661,1661,2,3,4,0,1,2.0,34,224900
268,4435,2003,2003,4,848,848,1,1,4,0,1,2.0,0,143750
269,4426,2004,2004,4,848,848,1,1,4,0,1,2.0,0,143000
270,10635,2003,2003,4,1668,1668,2,3,4,1,1,2.0,262,232000
271,8400,2004,2005,4,1484,1484,2,3,4,0,1,2.0,179,213000
272,8773,2004,2004,4,1414,1414,2,3,4,0,1,2.0,105,185500
273,8777,1945,2007,3,640,640,1,2,3,0,5,1.0,0,84900
274,8842,1954,1954,3,992,992,1,3,3,0,5,1.0,56,155891
275,9825,1965,1965,3,1664,1664,2,4,3,0,6,0.0,0,100000
276,10044,1968,1968,3,1196,1196,1,3,3,0,1,1.0,168,144000
277,11792,1948,1950,3,792,1120,1,2,2,0,5,2.0,160,64000
278,6305,1975,1975,3,1096,1096,1,3,3,1,5,1.0,0,125200
279,7819,1976,1976,3,1117,1117,1,3,3,1,5,2.0,0,107000
280,6410,1958,1958,3,960,960,1,3,3,0,6,0.0,0,90000
281,8546,2003,2004,3,1121,1121,2,2,3,0,1,2.0,64,140000
282,8741,1945,1950,3,798,1487,1,3,3,1,5,1.0,140,113000
283,12180,1941,1950,3,672,924,1,2,2,0,5,1.0,0,80000
284,8562,1957,2002,3,1526,1526,1,4,3,1,2,1.0,78,144500
285,4853,1924,1999,3,1296,1296,2,2,2,1,5,1.0,36,104000
286,6858,1915,1950,3,841,1647,1,4,2,0,5,1.0,202,128000
287,8212,1914,1950,3,864,864,1,2,3,0,5,1.0,96,58500
288,5000,1924,1950,3,1026,1691,2,3,4,1,5,1.0,242,127000
289,7890,1939,1950,3,856,856,1,2,3,1,5,2.0,166,126000
290,7200,1967,1967,3,862,2650,3,6,3,0,6,0.0,0,160000
291,9839,1931,1950,3,894,1666,1,3,3,1,6,0.0,156,100000
292,9638,1919,1990,3,1699,2447,2,4,4,1,5,1.0,158,169000
293,10452,1941,1985,4,1225,2133,1,4,3,2,1,1.0,86,257500
294,15600,1950,1991,3,1102,2177,2,5,3,0,5,2.0,0,215000
295,9042,1941,2006,5,1188,2340,2,4,4,2,1,1.0,60,266500
296,17500,1959,2002,4,1902,1902,2,3,5,2,1,2.0,369,335000
297,19645,1994,2007,3,896,1652,2,3,4,0,3,2.0,0,203135
298,3907,1989,1989,4,1034,1034,1,1,4,1,1,2.0,36,185000
299,3907,1989,1989,4,1191,1191,2,2,4,1,1,2.0,81,162500
300,15602,1959,1997,3,1801,1801,2,1,3,2,1,2.0,215,289000
301,5436,1922,2007,3,796,1154,1,3,4,0,5,1.0,96,125500
302,8154,1941,1950,3,540,540,1,1,3,0,5,1.0,0,82000
303,9140,1921,1975,3,727,1107,1,2,3,0,5,1.0,256,110000
304,7500,1920,1950,3,698,1128,1,2,3,0,5,2.0,164,68400
305,8712,1900,1950,3,859,1178,1,2,3,0,5,1.0,98,102776
306,8712,1952,1952,2,1044,1044,1,2,2,0,2,2.0,0,55993
307,8712,1896,1950,2,952,952,1,3,3,0,5,1.0,265,50138
308,3811,2004,2005,4,1646,1646,2,2,4,1,1,2.0,208,246000
309,11050,1998,1999,4,1036,1916,2,3,4,1,1,3.0,70,254900
310,9620,1977,1977,3,1285,1285,2,3,4,1,1,2.0,26,190000
311,9196,2003,2003,4,1560,1560,2,3,4,0,1,2.0,150,201000
312,12328,1976,1976,3,1034,1034,1,3,3,0,1,3.0,0,169900
313,12760,1976,1976,3,2048,2048,3,5,3,0,0,2.0,0,170000
314,57200,1948,1950,3,1687,1687,1,3,3,2,5,2.0,50,160000
315,11896,2008,2008,4,1346,1346,2,3,4,1,1,3.0,48,220000
316,9803,2009,2010,4,1214,1214,2,2,4,0,1,2.0,25,179781
317,9802,2006,2007,3,744,1444,2,3,3,0,3,2.0,0,174000
318,12003,2009,2010,4,774,1968,2,4,5,1,3,3.0,75,269500
319,11316,2002,2003,4,824,1894,2,4,4,1,3,2.0,40,214900
320,14191,2002,2002,4,993,1908,2,4,4,0,1,2.0,0,202900
321,13214,2008,2009,5,2018,2018,2,3,5,1,1,3.0,76,378500
322,15300,1965,1977,3,1264,1264,1,2,3,1,1,2.0,0,169000
323,10114,2004,2005,3,1430,1430,2,3,4,0,1,2.0,0,173500
324,9400,1971,1971,3,912,1824,2,4,3,0,6,0.0,0,139000
325,11875,1999,1999,3,1344,1344,2,3,3,1,1,2.0,0,166500
326,1974,1973,1973,3,546,1092,1,3,3,0,1,1.0,96,83500
327,2394,1973,1973,3,945,945,1,2,3,1,1,1.0,164,119500
328,2592,1976,1976,3,536,1112,1,3,3,0,1,1.0,0,85000
329,1476,1970,1970,3,546,1092,1,3,3,0,6,0.0,26,76000
330,1491,1972,1972,3,630,630,1,1,3,0,6,0.0,24,75500
331,1900,1970,1970,3,546,1092,1,3,3,0,6,0.0,0,88250
332,1890,1972,1972,3,546,1092,1,3,3,0,1,1.0,64,85500
333,6953,1971,2004,3,874,874,1,3,3,0,5,1.0,0,130000
334,26142,1962,1962,3,1188,1188,1,3,3,0,1,1.0,39,157900
335,12887,1984,1984,3,833,833,1,2,4,0,1,2.0,0,149900
336,7700,1985,1986,3,1216,2432,4,4,3,0,1,2.0,0,159000
337,10475,1991,1991,3,624,1274,1,3,3,0,5,2.0,0,136000
338,10544,1969,1969,3,864,1479,2,5,3,0,1,1.0,280,161000
339,9892,1994,1995,4,1803,1803,2,3,4,2,1,2.0,286,285000
340,12961,1993,1994,4,1152,1797,2,3,4,1,1,2.0,312,231000
341,13008,1956,1956,3,882,882,1,2,3,0,1,1.0,0,124500
342,10200,1974,1974,3,1434,1434,2,4,3,1,1,2.0,21,157000
343,13860,1972,1995,4,2000,2704,2,4,5,3,1,2.0,111,345000
344,10179,1997,1997,3,945,1608,2,3,3,1,1,2.0,30,189500
345,11792,2003,2003,4,1008,2283,2,4,4,1,3,3.0,46,270000
346,8400,1996,1997,3,958,1628,2,3,3,1,3,2.0,72,189000
347,14892,2006,2007,5,1746,1746,2,3,5,2,1,3.0,39,377500
348,8530,1995,1996,3,804,1474,2,3,3,1,3,2.0,72,168500
349,7296,2004,2005,4,2522,2522,2,1,4,1,1,2.0,57,375000
350,5664,2000,2000,4,1659,1659,2,2,5,1,1,2.0,59,278000
351,7380,1998,1998,3,1478,1478,2,2,3,0,1,2.0,43,240000
352,8013,1995,1996,4,1734,1734,2,2,4,0,1,2.0,50,239500
353,8923,1998,1998,4,751,1382,2,3,3,1,3,2.0,0,177500
354,10141,1998,1998,3,885,1718,2,3,3,1,1,2.0,385,185000
355,7500,1998,1999,4,952,1636,2,3,3,1,1,2.0,84,191000
356,7837,1993,1994,4,799,1571,2,3,3,1,1,2.0,40,178000
357,9765,1993,1993,5,680,1470,2,3,3,1,3,2.0,63,185000
358,8803,1994,1995,3,707,1516,2,3,4,1,1,2.0,46,181316
359,7250,1993,1993,3,1190,1190,2,3,4,1,1,2.0,21,166000
360,9636,1992,1993,3,808,1593,2,3,3,1,3,2.0,40,178000
361,8125,1994,1995,3,702,1481,2,3,3,1,1,2.0,36,174000
362,9248,1992,1992,3,1167,1167,2,3,4,0,1,2.0,26,173000
363,10762,1999,1999,4,1005,1983,2,3,4,1,1,2.0,0,225000
364,11851,1990,1990,3,1442,1442,2,3,3,0,1,2.0,542,180500
365,5814,1984,1984,4,1360,1360,1,1,4,1,1,2.0,0,187500
366,17423,2008,2009,5,2234,2234,2,1,5,1,1,3.0,60,501837
367,11844,2008,2008,4,2046,2046,2,3,4,1,1,3.0,82,372500
